"id","submitdate","lastpage","startlanguage","seed","startdate","datestamp","SDQGeschlecht","SDQLand","SDQLand[other]","SDQJahr","SDQPartner","BEQ01[SQ01]","BEQ01[SQ02]","BEQ01[SQ03]","BEQ01[SQ04]","BEQ01[SQ05]","BEQ01[SQ06]","BEQ01[SQ07]","ZGQ01[SQ01]","ZGQ01[SQ02]","ZGQ01[SQ03]","ZGQ01[SQ04]","ZGQ01[SQ05]","ZGQ01[SQ06]","ZGQ01[SQ07]","NGQ01[SQ01]","NGQ01[SQ02]","NGQ01[SQ03]","NGQ01[SQ04]","NGQ01[SQ05]","NGQ01[SQ06]","NGQ01[SQ07]","NGQ01[SQ08]","NGQ01[SQ09]","NGQ01[SQ10]","NGQ01[SQ11]","NGQ01[SQ12]","NGQ01[SQ13]","NGQ01[SQ14]","NGQ01[SQ15]","NGQ01[SQ16]","NGQ01[SQ17]","NGQ01[SQ18]","NGQ01[SQ19]","NGQ01[SQ20]","NGQ01[SQ21]","NGQ01[SQ22]","NGQ01[SQ23]","NGQ01[SQ24]"
"44","2025-11-25 12:34:40","4","de","1039755788","2025-11-25 12:30:38","2025-11-25 12:34:40","M","D","","2005","N","2","1","3","3","2","2","3","1","1","2","1","2","2","1","4","4","2","3","2","2","3","5","2","3","1","2","2","4","3","2","1","1","1","2","4","4","2","3"
"45","2025-11-25 21:44:24","4","de","724868843","2025-11-25 21:39:29","2025-11-25 21:44:24","D","AT","","2006","N","1","1","1","1","2","1","2","1","1","1","1","1","2","3","2","4","3","2","1","2","4","3","3","4","1","5","1","2","2","1","1","2","1","1","3","5","4","3"
"46","2025-11-25 22:01:47","4","de","230449312","2025-11-25 21:57:19","2025-11-25 22:01:47","M","AT","","2005","N","3","4","2","2","3","4","1","1","2","2","3","2","5","3","3","3","2","3","1","1","1","2","2","3","1","3","2","4","3","4","5","3","3","3","3","3","3","3"
"47","2025-11-26 16:44:19","4","de","2132289879","2025-11-26 15:57:57","2025-11-26 16:44:19","W","AT","","2005","N","2","3","2","2","3","2","3","2","1","2","2","2","2","1","2","3","2","2","1","3","2","3","4","4","2","4","1","2","1","1","2","2","2","3","4","4","3","3"
"48","2025-11-27 14:38:12","4","de","1513711360","2025-11-27 14:31:35","2025-11-27 14:38:12","M","AT","","2003","N","1","2","2","3","3","1","1","1","1","2","1","2","2","1","1","2","2","1","2","3","3","4","2","5","2","4","1","1","2","1","1","2","1","3","2","2","2","3"
"49","2025-11-27 14:35:50","4","de","1313640688","2025-11-27 14:31:38","2025-11-27 14:35:50","M","AT","","2004","N","2","2","2","2","3","1","2","1","2","3","2","3","2","2","2","2","2","2","2","1","1","1","3","3","2","2","3","3","3","3","3","4","2","4","3","3","2","3"
"50","2025-11-27 14:36:30","4","de","1682826478","2025-11-27 14:32:45","2025-11-27 14:36:30","M","AT","","2004","N","2","3","2","3","4","2","4","2","2","3","2","3","3","2","4","4","2","2","4","1","2","3","4","3","4","2","2","4","2","2","3","3","4","4","3","5","2","2"
"51","2025-11-27 14:35:31","4","de","954018637","2025-11-27 14:32:51","2025-11-27 14:35:31","M","AT","","2003","N","1","2","3","4","2","2","3","2","1","3","4","4","4","3","1","2","2","3","2","2","1","3","3","1","1","1","1","1","1","1","1","2","2","2","3","1","2","1"
"52","2025-11-27 14:38:16","4","de","257028167","2025-11-27 14:33:46","2025-11-27 14:38:16","M","-oth-","syrie","2004","N","2","3","3","2","2","1","2","2","4","3","3","2","4","3","1","1","2","2","5","2","1","2","2","5","5","2","4","4","4","5","5","5","5","5","4","2","4","3"
"53","2025-11-27 15:26:36","4","de","1028219602","2025-11-27 15:18:33","2025-11-27 15:26:36","M","AT","","2003","N","2","3","2","2","2","1","4","1","1","2","4","2","2","2","1","1","3","2","2","1","1","2","4","4","2","5","1","4","1","2","3","3","2","5","3","5","5","4"
"54","2025-11-27 16:12:02","4","de","1245877127","2025-11-27 16:04:02","2025-11-27 16:12:02","W","AT","","2004","N","3","4","2","3","2","2","3","2","3","2","2","3","3","3","1","2","2","2","2","4","4","4","4","4","2","4","3","3","2","3","2","4","3","3","4","3","4","4"
"55","2025-11-27 17:41:27","4","de","1604515383","2025-11-27 17:37:53","2025-11-27 17:41:27","W","AT","","2005","N","1","3","2","2","2","2","3","3","1","2","1","2","3","2","3","3","2","2","3","2","1","2","2","1","2","3","4","4","3","2","3","1","2","3","4","4","3","2"
"56","2025-11-28 10:19:18","4","de","746121338","2025-11-28 10:10:27","2025-11-28 10:19:18","M","AT","","2003","N","2","4","2","2","4","3","2","1","2","3","3","2","3","3","2","1","2","2","4","2","3","2","3","4","3","3","4","3","2","3","2","3","3","3","1","1","2","2"
"57","2025-11-28 10:15:29","4","de","1150966530","2025-11-28 10:10:59","2025-11-28 10:15:29","M","AT","","2003","","3","4","3","3","4","3","2","2","2","2","4","2","2","1","2","4","2","2","2","2","2","3","3","4","3","4","4","4","3","3","2","3","2","3","4","4","3","3"
"58","2025-11-28 15:47:55","4","de","1030255453","2025-11-28 15:40:38","2025-11-28 15:47:55","W","AT","","2005","N","2","4","2","3","1","2","3","2","1","3","1","2","2","2","3","1","1","1","2","3","2","3","4","3","2","2","1","1","1","3","4","4","5","4","4","5","5","4"
