"id";"submitdate";"lastpage";"startlanguage";"seed";"startdate";"datestamp";"SDQ01";"SDQ02";"SDQ02[other]";"SDQ03";"SDQ04";"BEQ01[SQ01]";"BEQ01[SQ02]";"BEQ01[SQ03]";"BEQ01[SQ04]";"BEQ01[SQ05]";"BEQ01[SQ06]";"BEQ01[SQ07]";"ZGQ01[SQ01]";"ZGQ01[SQ02]";"ZGQ01[SQ03]";"ZGQ01[SQ04]";"ZGQ01[SQ05]";"ZGQ01[SQ06]";"ZGQ01[SQ07]";"NGQ01[SQ01]";"NGQ01[SQ02]";"NGQ01[SQ03]";"NGQ01[SQ04]";"NGQ01[SQ05]";"NGQ01[SQ06]";"NGQ01[SQ07]";"NGQ01[SQ08]";"NGQ01[SQ09]";"NGQ01[SQ10]";"NGQ01[SQ11]";"NGQ01[SQ12]";"NGQ01[SQ13]";"NGQ01[SQ14]";"NGQ01[SQ15]";"NGQ01[SQ16]";"NGQ01[SQ17]";"NGQ01[SQ18]";"NGQ01[SQ19]";"NGQ01[SQ20]";"NGQ01[SQ21]";"NGQ01[SQ22]";"NGQ01[SQ23]";"NGQ01[SQ24]"
"14";"2024-11-12 18:28:00";"4";"de";"1375664351";"2024-11-12 18:23:05";"2024-11-12 18:28:00";"M";"AT";"";"2001";"N";"3";"2";"2";"3";"2";"1";"2";"1";"2";"1";"1";"2";"1";"1";"1";"3";"2";"1";"2";"2";"1";"2";"4";"4";"5";"4";"1";"2";"2";"2";"1";"1";"2";"4";"2";"2";"3";"2"
"15";"2024-11-12 18:33:21";"4";"de";"939064970";"2024-11-12 18:24:38";"2024-11-12 18:33:21";"W";"D";"";"2002";"N";"3";"1";"2";"4";"2";"3";"4";"2";"2";"1";"2";"2";"2";"2";"3";"4";"2";"2";"2";"2";"2";"2";"2";"2";"1";"2";"2";"2";"2";"3";"2";"3";"4";"3";"4";"3";"3";"4"
"16";"2024-11-12 18:59:23";"4";"de";"768079220";"2024-11-12 18:52:31";"2024-11-12 18:59:23";"M";"AT";"";"1996";"N";"2";"3";"2";"4";"1";"2";"5";"1";"1";"1";"1";"1";"3";"1";"2";"3";"1";"1";"1";"1";"2";"1";"2";"2";"1";"1";"2";"3";"1";"3";"5";"4";"5";"5";"5";"5";"4";"4"
"17";;;"de";"2137165717";"2024-11-12 18:59:34";"2024-11-12 18:59:34";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"18";"2024-11-12 19:04:27";"4";"de";"45087630";"2024-11-12 19:01:07";"2024-11-12 19:04:27";"W";"AT";"";"1997";"Y";"4";"2";"2";"4";"3";"1";"4";"4";"1";"2";"1";"2";"3";"2";"1";"3";"2";"1";"5";"5";"5";"2";"1";"1";"2";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"4"
"19";"2024-11-12 19:09:08";"4";"de";"1522600918";"2024-11-12 19:05:09";"2024-11-12 19:09:08";"W";"AT";"";"1997";"N";"5";"2";"2";"3";"2";"3";"2";"1";"2";"1";"2";"1";"1";"1";"1";"2";"1";"1";"2";"2";"1";"2";"5";"4";"3";"4";"1";"2";"2";"1";"2";"3";"3";"3";"2";"2";"1";"2"
"20";"2024-11-12 19:14:07";"4";"de";"1724319571";"2024-11-12 19:08:46";"2024-11-12 19:14:07";"W";"AT";"";"2002";"";"3";"2";"2";"3";"3";"1";"3";"2";"1";"1";"1";"2";"2";"2";"2";"2";"1";"1";"2";"1";"2";"1";"1";"2";"2";"3";"1";"1";"2";"1";"3";"2";"2";"2";"4";"3";"1";"3"
"21";"2024-11-12 20:55:29";"4";"de";"650369996";"2024-11-12 20:44:16";"2024-11-12 20:55:29";"M";"AT";"";"1999";"N";"1";"1";"1";"1";"1";"1";"4";"1";"1";"1";"1";"1";"1";"1";"1";"2";"1";"1";"3";"3";"1";"2";"4";"4";"3";"3";"1";"2";"3";"2";"1";"2";"1";"3";"2";"2";"1";"4"
"22";"2024-11-12 21:46:00";"4";"de";"456693392";"2024-11-12 21:35:27";"2024-11-12 21:46:00";"M";"AT";"";"2001";"N";"1";"3";"2";"2";"2";"3";"2";"1";"1";"2";"1";"2";"2";"2";"3";"3";"3";"2";"3";"4";"4";"4";"4";"4";"4";"2";"4";"3";"3";"3";"2";"3";"3";"3";"3";"2";"2";"4"
"23";"2024-11-12 21:56:39";"4";"de";"857561200";"2024-11-12 21:36:01";"2024-11-12 21:56:39";"M";"-oth-";"Itali";"2004";"N";"2";"2";"4";"3";"5";"2";"3";"1";"1";"2";"2";"4";"3";"2";"3";"3";"3";"2";"3";"3";"2";"3";"3";"3";"4";"3";"3";"2";"3";"2";"2";"3";"2";"2";"3";"3";"2";"3"
"24";"2024-11-12 21:44:28";"4";"de";"200810499";"2024-11-12 21:36:03";"2024-11-12 21:44:28";"M";"AT";"";"2002";"N";"1";"5";"2";"2";"4";"2";"2";"2";"1";"2";"2";"3";"2";"1";"2";"3";"2";"2";"5";"4";"4";"3";"4";"4";"4";"5";"4";"5";"5";"5";"2";"3";"2";"4";"3";"3";"4";"4"
"25";"2024-11-12 22:23:46";"4";"de";"269498938";"2024-11-12 22:16:14";"2024-11-12 22:23:46";"W";"AT";"";"1997";"N";"2";"2";"2";"3";"2";"2";"1";"2";"2";"2";"2";"3";"2";"2";"2";"3";"2";"2";"2";"2";"3";"2";"1";"2";"2";"2";"1";"2";"2";"2";"4";"4";"4";"4";"4";"3";"4";"4"
"26";"2024-11-12 23:28:52";"4";"de";"1309951381";"2024-11-12 23:24:16";"2024-11-12 23:28:52";"M";"AT";"";"2002";"N";"2";"1";"2";"1";"3";"2";"2";"1";"1";"1";"1";"1";"1";"1";"2";"3";"1";"1";"1";"1";"1";"1";"2";"2";"2";"3";"3";"2";"2";"3";"2";"2";"2";"2";"3";"4";"3";"4"
"27";"2024-11-13 08:56:00";"4";"de";"348892467";"2024-11-13 08:52:51";"2024-11-13 08:56:00";"M";"AT";"";"1992";"N";"2";"3";"1";"1";"1";"1";"2";"2";"1";"3";"2";"2";"1";"1";"1";"2";"1";"2";"3";"1";"1";"2";"4";"4";"1";"2";"2";"1";"1";"2";"2";"1";"1";"3";"4";"3";"4";"4"
"28";"2024-11-13 10:05:35";"4";"de";"1255605794";"2024-11-13 10:00:56";"2024-11-13 10:05:35";"W";"AT";"";"1992";"";"1";"1";"1";"1";"1";"1";"1";"2";"2";"1";"1";"1";"2";"3";"2";"2";"2";"1";"5";"4";"3";"5";"5";"4";"5";"5";"4";"3";"4";"3";"5";"4";"5";"3";"3";"5";"3";"5"
"29";;;"de";"2032414825";"2024-11-13 10:05:53";"2024-11-13 10:05:53";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"30";"2024-11-18 10:01:33";"4";"de";"1361453151";"2024-11-18 09:51:51";"2024-11-18 10:01:33";"M";"AT";"";"2002";"N";"1";"2";"1";"1";"1";"2";"2";"1";"2";"1";"3";"2";"2";"2";"1";"3";"2";"2";"3";"2";"2";"3";"4";"4";"4";"4";"3";"3";"2";"2";"1";"1";"2";"4";"3";"3";"2";"3"
"31";"2024-11-18 09:56:56";"4";"de";"1681255945";"2024-11-18 09:53:26";"2024-11-18 09:56:56";"W";"AT";"";"1998";"N";"2";"3";"1";"3";"1";"1";"2";"5";"4";"3";"5";"1";"4";"4";"1";"3";"1";"1";"4";"5";"5";"5";"1";"2";"2";"3";"2";"2";"4";"4";"5";"5";"3";"5";"5";"5";"5";"5"
"32";"2024-11-25 11:59:22";"4";"de";"440670575";"2024-11-25 11:56:36";"2024-11-25 11:59:22";"M";"AT";"";"2001";"N";"2";"2";"1";"3";"2";"1";"2";"1";"2";"1";"2";"2";"1";"1";"2";"2";"1";"1";"2";"2";"1";"2";"2";"4";"4";"3";"1";"2";"2";"2";"1";"2";"2";"4";"1";"2";"3";"1"
"33";"2024-11-30 09:20:53";"4";"de";"829997553";"2024-11-30 09:14:31";"2024-11-30 09:20:53";"W";"-oth-";"Phili";"2001";"Y";"3";"4";"1";"2";"2";"1";"2";"2";"1";"1";"2";"2";"4";"1";"2";"4";"2";"1";"2";"3";"3";"2";"2";"4";"5";"4";"1";"1";"1";"1";"4";"5";"4";"2";"2";"2";"4";"3"
